zaznam	cas	radon[Bq/m3]	sum1	sum2	sum3	sum4	Teplota[C]	Vlhkost[%]	HV	Algorit.	
555	19.06.2019 04:28	150	2	28	31	0	25	45	9	1
554	19.06.2019 05:28	204	4	37	43	0	25	45	9	1
553	19.06.2019 06:28	155	1	23	37	0	25	46	9	1
552	19.06.2019 07:28	211	3	37	45	0	25	46	9	1
551	19.06.2019 08:28	238	1	40	50	0	26	46	9	1
550	19.06.2019 09:28	254	4	51	45	0	26	46	9	1
549	19.06.2019 10:28	214	2	33	48	0	26	46	9	1
548	19.06.2019 11:28	157	4	22	37	0	26	47	9	1
547	19.06.2019 12:28	112	4	15	27	0	26	47	9	1
546	19.06.2019 13:28	77	1	13	16	0	26	47	9	1
545	19.06.2019 14:28	85	2	18	14	0	26	47	9	1
544	19.06.2019 15:28	108	2	22	19	0	26	46	9	1
543	19.06.2019 16:28	113	2	31	12	0	26	46	9	1
542	19.06.2019 17:28	198	1	42	33	0	26	46	9	1
541	19.06.2019 18:28	185	4	33	37	0	26	46	9	1
540	19.06.2019 19:28	177	6	36	31	0	26	46	9	1
539	19.06.2019 20:28	145	1	22	33	0	26	46	9	1
538	19.06.2019 21:28	148	1	24	32	0	26	46	9	1
537	19.06.2019 22:28	181	3	33	35	0	26	47	9	1
536	19.06.2019 23:28	168	1	29	34	0	26	47	9	1
535	20.06.2019 00:28	160	10	37	23	0	26	47	9	1
534	20.06.2019 01:28	189	2	39	32	0	26	47	9	1
533	20.06.2019 02:28	200	3	36	39	0	26	47	9	1
532	20.06.2019 03:28	184	0	35	34	0	26	47	9	1
531	20.06.2019 04:28	165	1	27	35	0	26	47	9	1
530	20.06.2019 05:28	197	2	37	37	0	26	47	9	1
529	20.06.2019 06:28	208	2	47	31	0	26	47	9	1
528	20.06.2019 07:28	216	6	35	46	0	26	47	9	1
527	20.06.2019 08:28	227	1	43	42	0	26	47	9	1
526	20.06.2019 09:28	186	0	30	41	0	26	45	9	1
