záznam	cas	radon[Bq/m3]	sum1	sum2	sum3	sum4	Teplota[°C]	Vlhkost[%]	HV	Algorit.	
249	11.07.2019 03:17	270	6	44	34	0	24	37	9	1	
250	11.07.2019 04:17	236	6	37	33	0	23	37	9	1	
251	11.07.2019 05:17	192	0	33	24	0	23	37	9	1	
252	11.07.2019 06:17	259	8	42	34	1	23	38	9	1	
253	11.07.2019 07:17	256	1	31	44	0	23	38	9	1	
254	11.07.2019 08:17	198	6	21	37	0	23	38	9	1	
255	11.07.2019 09:17	160	0	18	29	0	23	38	9	1	
256	11.07.2019 10:17	177	1	30	22	0	23	38	9	1	
257	11.07.2019 11:17	126	1	19	17	0	24	38	9	1	
258	11.07.2019 12:17	93	0	12	15	0	24	37	9	1	
259	11.07.2019 13:17	69	0	5	15	0	24	37	9	1	
260	11.07.2019 14:17	24	0	4	3	0	25	37	9	1	
261	11.07.2019 15:17	59	0	9	8	0	25	36	9	1	
262	11.07.2019 16:17	31	2	6	3	0	25	36	9	1	
263	11.07.2019 17:17	14	1	1	3	0	25	36	9	1	
264	11.07.2019 18:17	24	0	5	2	0	25	37	9	1	
265	11.07.2019 19:17	35	0	8	2	0	25	37	9	1	
266	11.07.2019 20:17	39	1	7	4	0	25	37	9	1	
267	11.07.2019 21:17	67	1	12	7	0	25	37	9	1	
268	11.07.2019 22:17	90	1	13	12	0	25	38	9	1	
269	11.07.2019 23:17	80	5	15	8	0	24	38	9	1	
270	12.07.2019 00:17	105	3	20	10	0	24	38	9	1	
271	12.07.2019 01:17	115	3	13	20	0	24	38	9	1	
272	12.07.2019 02:17	134	3	15	23	0	24	39	9	1	
273	12.07.2019 03:17	156	1	21	23	0	24	39	9	1	
274	12.07.2019 04:17	173	5	25	24	0	24	39	9	1	
275	12.07.2019 05:17	220	3	31	31	0	24	39	9	1	
276	12.07.2019 06:17	252	6	36	35	1	24	39	9	1	
277	12.07.2019 07:17	206	3	30	29	0	23	40	9	1	
278	12.07.2019 08:17	222	6	26	37	0	23	41	9	1	
279	12.07.2019 09:17	141	0	17	23	0	23	41	9	1	
280	12.07.2019 10:17	128	5	17	19	0	23	42	9	1	
281	12.07.2019 11:17	81	5	7	15	1	24	43	9	1	
282	12.07.2019 12:17	105	1	13	15	0	24	44	9	1	
283	12.07.2019 13:17	37	2	3	7	0	24	45	9	1	
284	12.07.2019 14:17	27	1	4	3	0	25	45	9	1	
285	12.07.2019 15:17	31	2	4	4	0	25	45	9	1	
286	12.07.2019 16:17	38	0	5	5	0	25	45	9	1	
287	12.07.2019 17:17	15	1	1	3	0	25	45	9	1	
288	12.07.2019 18:17	46	0	7	5	0	25	45	9	1	
289	12.07.2019 19:17	58	0	11	4	0	25	45	9	1	
290	12.07.2019 20:17	98	0	18	8	0	24	45	9	1	
291	12.07.2019 21:17	79	3	9	12	0	24	45	9	1	
292	12.07.2019 22:17	121	2	16	16	0	24	45	9	1	
293	12.07.2019 23:17	140	6	20	17	0	24	45	9	1	
294	13.07.2019 00:17	170	3	24	21	0	24	45	9	1	
295	13.07.2019 01:17	231	3	29	32	0	24	45	9	1	
296	13.07.2019 02:17	236	3	27	37	0	23	45	9	1	
297	13.07.2019 03:17	258	2	37	33	0	23	45	9	1	
298	13.07.2019 04:17	254	4	28	41	0	23	45	9	1	
299	13.07.2019 05:17	284	7	43	34	0	23	45	9	1	
300	13.07.2019 06:17	258	3	27	43	0	23	45	9	1	
301	13.07.2019 07:17	269	3	49	24	0	23	45	9	1	
302	13.07.2019 08:17	223	2	20	40	0	23	46	9	1	
303	13.07.2019 09:17	112	0	12	19	0	22	46	9	1	
304	13.07.2019 10:17	90	1	11	14	0	22	46	9	1	
305	13.07.2019 11:17	143	1	19	20	0	22	47	9	1	
306	13.07.2019 12:17	128	1	16	18	0	23	47	9	1	
307	13.07.2019 13:17	150	0	21	19	0	23	47	9	1	
308	13.07.2019 14:17	131	1	14	21	0	23	47	9	1	
309	13.07.2019 15:17	173	2	24	22	0	23	47	9	1	
