record	time	radon[Bq/m3]	sum1	sum2	sum3	sum4	temperature[°C]	humidity[%]	HV	algorithm
313	07.06.2019 9:28	228	3	45	43	0	24	49	9	1
312	07.06.2019 10:28	178	3	35	34	0	24	49	9	1
311	07.06.2019 11:28	225	2	47	40	0	24	49	9	1
310	07.06.2019 12:28	196	4	41	35	0	24	49	9	1
309	07.06.2019 13:28	194	4	36	39	0	24	49	9	1
308	07.06.2019 14:28	204	5	36	43	0	24	49	9	1
307	07.06.2019 15:28	178	5	30	39	0	24	49	9	1
306	07.06.2019 16:28	199	1	34	43	0	24	49	9	1
305	07.06.2019 17:28	147	3	30	27	0	24	49	9	1
304	07.06.2019 18:28	155	4	26	34	0	24	49	9	1
303	07.06.2019 19:28	145	1	25	31	0	24	49	9	1
302	07.06.2019 20:28	168	4	28	37	0	24	49	9	1
301	07.06.2019 21:28	171	2	35	31	0	24	49	9	1
300	07.06.2019 22:28	196	3	41	35	0	24	49	9	1
299	07.06.2019 23:28	190	4	29	44	0	24	50	9	1
298	08.06.2019 0:28	104	2	9	31	0	24	50	9	1
297	08.06.2019 1:28	70	1	8	19	0	24	50	9	1
296	08.06.2019 2:28	79	3	15	15	0	24	51	9	1
295	08.06.2019 3:28	58	2	14	8	0	24	51	9	1
294	08.06.2019 4:28	110	1	17	25	0	24	51	9	1
293	08.06.2019 5:28	158	4	38	22	0	24	51	9	1
292	08.06.2019 6:28	163	4	36	26	0	24	51	9	1
291	08.06.2019 7:28	172	0	27	39	0	24	50	9	1
290	08.06.2019 8:28	175	4	35	32	0	24	50	9	1
289	08.06.2019 9:28	150	2	31	27	0	24	49	9	1
288	08.06.2019 10:28	160	3	30	32	0	24	49	9	1
287	08.06.2019 11:28	156	2	22	39	0	24	48	9	1
286	08.06.2019 12:28	111	3	20	24	0	24	47	9	1
285	08.06.2019 13:28	120	3	22	26	0	24	46	9	1
284	08.06.2019 14:28	146	2	29	29	0	24	46	9	1
283	08.06.2019 15:28	114	1	19	27	0	24	45	9	1
282	08.06.2019 16:28	129	2	25	27	0	24	45	9	1
281	08.06.2019 17:28	116	3	23	24	0	24	44	9	1
280	08.06.2019 18:28	133	2	23	31	0	24	44	9	1
279	08.06.2019 19:28	166	2	33	35	0	24	43	9	1
278	08.06.2019 20:28	185	4	43	33	0	24	43	9	1
277	08.06.2019 21:28	246	1	53	48	0	24	43	9	1
276	08.06.2019 22:28	185	5	37	39	0	24	43	9	1
275	08.06.2019 23:28	193	1	39	40	0	24	43	9	1
274	09.06.2019 0:28	227	3	56	37	0	24	43	9	1
273	09.06.2019 1:28	176	2	33	39	0	24	43	9	1
272	09.06.2019 2:28	195	0	39	41	0	24	43	9	1
271	09.06.2019 3:28	166	8	26	42	0	24	43	9	1
270	09.06.2019 4:28	171	4	33	38	0	24	42	9	1
269	09.06.2019 5:28	157	1	29	36	0	24	42	9	1
268	09.06.2019 6:28	166	5	36	33	0	24	42	9	1
267	09.06.2019 7:28	217	4	45	45	0	24	42	9	1
266	09.06.2019 8:28	222	6	43	49	0	24	42	9	1
265	09.06.2019 9:28	237	1	46	52	0	24	42	9	1
264	09.06.2019 10:28	205	7	37	48	0	24	42	9	1
263	09.06.2019 11:28	191	2	30	49	0	24	42	9	1
262	09.06.2019 12:28	181	1	34	41	0	24	42	9	1
261	09.06.2019 13:28	135	3	26	30	0	24	42	9	1
260	09.06.2019 14:28	113	4	22	25	0	24	42	9	1
259	09.06.2019 15:28	157	1	26	39	0	24	42	9	1
258	09.06.2019 16:28	152	0	30	33	0	24	42	9	1
257	09.06.2019 17:28	162	0	32	35	0	24	42	9	1
256	09.06.2019 18:28	174	3	32	40	0	24	42	9	1
255	09.06.2019 19:28	162	2	36	31	0	24	42	9	1
254	09.06.2019 20:28	173	3	38	33	0	24	43	9	1
253	09.06.2019 21:28	136	4	30	26	0	24	43	9	1
252	09.06.2019 22:28	141	5	29	29	0	24	43	9	1
251	09.06.2019 23:28	177	0	45	27	0	24	44	9	1
250	10.06.2019 0:28	145	2	18	41	0	24	44	9	1
249	10.06.2019 1:28	138	0	26	30	0	24	44	9	1
248	10.06.2019 2:28	99	3	19	21	0	24	45	9	1
247	10.06.2019 3:28	104	4	21	21	0	24	45	9	1
246	10.06.2019 4:28	79	1	10	22	0	24	45	9	1
245	10.06.2019 5:28	88	0	16	19	0	24	46	9	1
244	10.06.2019 6:28	37	0	5	10	0	24	46	9	1
243	10.06.2019 7:28	50	1	14	6	0	24	46	9	1
242	10.06.2019 8:28	78	0	17	14	0	24	46	9	1
241	10.06.2019 9:28	85	1	17	17	0	24	46	9	1
240	10.06.2019 10:28	86	3	16	18	0	24	47	9	1
239	10.06.2019 11:28	103	2	19	21	0	25	46	9	1
238	10.06.2019 12:28	109	2	26	17	0	24	47	9	1
237	10.06.2019 13:28	104	2	22	19	0	24	47	9	1
236	10.06.2019 14:28	153	1	40	19	0	25	47	9	1
235	10.06.2019 15:28	198	2	40	36	0	25	47	9	1
234	10.06.2019 16:28	195	3	37	38	0	25	47	9	1
233	10.06.2019 17:28	177	2	40	28	0	25	47	9	1
232	10.06.2019 18:28	216	4	41	42	0	25	47	9	1
231	10.06.2019 19:28	236	4	48	42	0	25	48	9	1
230	10.06.2019 20:28	244	4	40	53	0	25	48	9	1
229	10.06.2019 21:28	257	3	40	57	0	25	49	9	1
228	10.06.2019 22:28	188	2	29	42	0	25	49	9	1
227	10.06.2019 23:28	119	2	20	26	0	24	49	9	1
