time \ channel	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96
31.05.2019 21:55	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	1	3	4	6	35	39	1	1	0	0	0	0	0	2	0	1	1	3	4	11	23	37	14	5	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
31.05.2019 20:55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	3	1	2	7	36	48	0	0	0	1	0	1	1	1	0	0	2	3	6	12	35	48	8	6	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
31.05.2019 19:55	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	2	0	1	0	1	3	2	3	3	9	43	39	2	1	0	0	0	1	2	1	0	1	0	2	4	8	28	32	6	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31.05.2019 18:55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	2	2	0	7	8	43	43	1	0	0	0	0	0	0	1	1	0	0	1	2	12	27	36	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31.05.2019 17:55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	1	0	1	1	2	7	9	49	23	2	1	0	1	0	0	0	3	2	1	1	2	3	9	18	29	7	4	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31.05.2019 16:55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	1	2	1	0	0	0	1	1	0	1	1	0	1	0	1	2	1	0	2	2	5	5	32	31	0	1	0	2	0	1	1	0	4	1	0	1	3	3	14	33	9	6	2	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0
31.05.2019 15:55	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	2	0	1	0	0	0	0	1	5	4	3	24	25	0	0	0	0	1	0	0	1	0	0	1	1	3	12	17	35	8	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
31.05.2019 14:55	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	2	0	1	1	1	2	1	0	0	1	6	5	20	35	0	0	0	1	0	0	0	0	1	0	0	1	2	2	13	24	8	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
31.05.2019 13:55	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	0	0	2	3	2	29	18	0	0	0	0	1	0	0	0	0	0	1	3	1	4	10	23	3	1	2	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0
31.05.2019 12:55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	2	3	17	17	0	0	0	0	0	1	0	0	0	0	1	1	4	3	10	11	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
